Date,Total Value
2000-01-03,7553.814092472196
2000-01-04,7296.509405277669
2000-01-05,7340.006890498102
2000-01-06,7301.578001990914
2000-01-07,7563.556096278131
2000-01-10,7654.143645606935
2000-01-11,7541.62420810014
2000-01-12,7512.98380138725
2000-01-13,7651.304470919073
2000-01-14,7776.897250249982
2000-01-18,7713.383499510586
2000-01-19,7756.034209027886
2000-01-20,7715.381753928959
2000-01-21,7757.946769431233
2000-01-24,7566.389791920781
2000-01-25,7617.940324790776
2000-01-26,7668.460440449417
2000-01-27,7610.657508686185
2000-01-28,7381.027887232602
2000-01-31,7429.672343194485
2000-02-01,7478.6230651810765
2000-02-02,7499.911361813545
2000-02-03,7587.05611474067
2000-02-04,7570.404759295285
2000-02-07,7531.544004559517
2000-02-08,7576.760693319142
2000-02-09,7492.5865181759
2000-02-10,7499.742809727788
2000-02-11,7404.765567079186
2000-02-14,7393.519430235028
2000-02-15,7477.893448069692
2000-02-16,7482.078700438142
2000-02-17,7569.689872816205
2000-02-18,7365.294486023486
2000-02-22,7329.449058756232
2000-02-23,7432.352971635759
2000-02-24,7460.693333879113
2000-02-25,7389.894026473165
2000-02-28,7435.007820621133
2000-02-29,7624.04717823118
2000-03-01,7695.547638200223
2000-03-02,7652.6197276338935
2000-03-03,7826.2674617394805
2000-03-06,7870.707704745233
2000-03-07,7598.037154272199
2000-03-08,7653.455369971693
2000-03-09,7843.745862700045
2000-03-10,7861.861131861806
2000-03-13,7792.1412745937705
2000-03-14,7576.326634965837
2000-03-15,7646.962533071637
2000-03-16,8034.853658042848
2000-03-17,8032.971378818154
2000-03-20,7847.584208682179
2000-03-21,7999.547372117639
2000-03-22,8146.113783672452
2000-03-23,8267.46521385014
2000-03-24,8329.74547471106
2000-03-27,8256.118888273835
2000-03-28,8184.625305905938
2000-03-29,8070.919800885022
2000-03-30,8006.695437140763
2000-03-31,8085.851756095886
2000-04-03,7915.94314212352
2000-04-04,7864.629773572087
2000-04-05,7862.450284898281
2000-04-06,8072.371673114598
2000-04-07,8147.694891944528
2000-04-10,8035.061725325882
2000-04-11,7936.721312768757
2000-04-12,7774.5924714282155
2000-04-13,7669.789197571576
2000-04-14,7182.380198188126
2000-04-17,7257.587682522833
2000-04-18,7604.490337885916
2000-04-19,7523.71922416985
2000-04-20,7613.510375797749
2000-04-24,7574.52939311415
2000-04-25,7865.260580010712
2000-04-26,7772.482390880585
2000-04-27,7817.687610387802
2000-04-28,7839.0967301130295
2000-05-01,7924.997780203819
2000-05-02,7852.08010327816
2000-05-03,7670.076521791518
2000-05-04,7706.2796465829015
2000-05-05,7817.915877461433
2000-05-08,7776.381403565407
2000-05-09,7678.506270751357
2000-05-10,7504.036657385528
2000-05-11,7633.25768955797
2000-05-12,7665.249167628586
2000-05-15,7849.273425981402
2000-05-16,7966.838518857956
2000-05-17,7822.147340767086
2000-05-18,7771.595272533596
2000-05-19,7596.579462237656
2000-05-22,7577.018012054265
2000-05-23,7416.904419615865
2000-05-24,7476.409136906266
2000-05-25,7382.703318163753
2000-05-26,7341.475650839508
2000-05-30,7618.334183618426
2000-05-31,7588.978006020188
2000-06-01,7821.946290813386
2000-06-02,8091.910328529775
2000-06-05,8030.255441591144
2000-06-06,7928.491213716567
2000-06-07,8020.809026256204
2000-06-08,7990.958382591605
2000-06-09,7983.323941722512
2000-06-12,7895.695130579174
2000-06-13,8018.179693713784
2000-06-14,7983.378428354859
2000-06-15,8014.223551347852
2000-06-16,7906.212309218943
2000-06-19,8029.2214307412505
2000-06-20,7984.9771765396
2000-06-21,7988.923051200807
2000-06-22,7874.414415888488
2000-06-23,7835.191856317222
2000-06-26,7921.202513895929
2000-06-27,7915.237135194242
